time,碰撞事故次数,感知事故次数,行车纵向刹车,cutin/横向/对向,变道,待转区/掉头/环岛,红绿灯,绕行,路口博弈,curb碰撞,横向超调,通用&基础感知,限速,走错路,功能异常降级/退出
(2026) 02/09-02/15,12,3,5,1,8,0,5,1,1,1,1,5,2,4,2
(2026) 02/16-02/22,8,4,2,0,5,0,1,2,0,1,1,4,0,3,1
